,Archipelago,Island1,Island2,beta_sor,beta_sim,beta_sne,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
291,Cape_Verde,Maio,Santa_Luzia,0.5125,0.093023256,0.419476744,564.225,772.435,9.225,240.98,434.49,319.01,11.55,236.0698968,0.96920548,0.13516674
292,Cape_Verde,Maio,Santiago,0.288461538,0.051282051,0.237179487,700.225,884.505,8.9,51.46,706.49,543.15,12.2,47.13041037,0.10731507,0.136183357
293,Cape_Verde,Maio,Santo_Antao,0.324074074,0.262626263,0.061447811,750.445,959.675,8.71,295.47,806.93,693.49,12.58,290.7842895,0.96920548,0.438266754
294,Cape_Verde,Maio,Sao_Vicente,0.267924528,0.170940171,0.096984357,593.465,801.67,9.36,264.29,492.97,377.48,11.28,259.427299,0.96920548,0.000300026
295,Cape_Verde,Saint_Nicholas,Sal,0.483375959,0.136752137,0.346623822,332.04,444.14,11.75,149.1,135.48,29.42,6.5,145.7759801,0.00953425,0.05466671
296,Cape_Verde,Saint_Nicholas,Santa_Luzia,0.525,0.11627907,0.40872093,590.625,695.395,9.225,48.23,381.69,473.09,11.55,45.97369726,0.36221918,0.004050064
297,Cape_Verde,Saint_Nicholas,Santiago,0.320512821,0.094017094,0.226495726,726.625,807.465,8.9,183.31,653.69,697.23,12.2,181.6342109,0.71430137,0.003033447
298,Cape_Verde,Saint_Nicholas,Santo_Antao,0.314814815,0.252525253,0.062289562,776.845,882.635,8.71,104.57,754.13,847.57,12.58,102.53809,0.36221918,0.29904995
299,Cape_Verde,Saint_Nicholas,Sao_Vicente,0.328301887,0.239316239,0.088985647,619.865,724.63,9.36,75.26,440.17,531.56,11.28,73.05109947,0.36221918,0.13951683
300,Cape_Verde,Sal,Santa_Luzia,0.753943218,0.093023256,0.660919962,522.885,680.685,5.975,193.74,517.17,502.51,5.05,189.7690677,0.37175343,0.050616646
301,Cape_Verde,Sal,Santiago,0.304904051,0.164102564,0.140801487,658.885,792.755,5.65,198.59,789.17,726.65,5.7,195.1995813,0.70476712,0.051633263
302,Cape_Verde,Sal,Santo_Antao,0.538873995,0.131313131,0.407560863,709.105,867.925,5.46,236.19,889.61,876.99,6.08,232.4434604,0.37175343,0.35371666
303,Cape_Verde,Sal,Sao_Vicente,0.36492891,0.094594595,0.270334315,552.125,709.92,6.11,216.02,575.65,560.98,4.78,212.0964699,0.37175343,0.08485012
304,Cape_Verde,Santa_Luzia,Santiago,0.672268908,0.093023256,0.579245652,917.47,1044.01,3.125,222.13,272,224.14,0.65,219.8072985,1.07652055,0.001016617
305,Cape_Verde,Santa_Luzia,Santo_Antao,0.549295775,0.255813953,0.293481821,967.69,1119.18,2.935,54.88,372.44,374.48,1.03,52.20117758,0,0.303100014
306,Cape_Verde,Santa_Luzia,Sao_Vicente,0.591623037,0.093023256,0.498599781,810.71,961.175,3.585,25.78,58.48,58.47,0.27,22.92418707,0,0.135466766
307,Cape_Verde,Santiago,Santo_Antao,0.367346939,0.060606061,0.306740878,1103.69,1231.25,2.61,276.68,100.44,150.34,0.38,274.5816912,1.07652055,0.302083397
