,Archipelago1.model,Archipelago2.model,beta_sor,beta_sim,beta_sne,mean_isolation,mean_reef_area,mean_past_isolation,mean_age,mean_past_reef_area,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,key,Archipelago1.var,Archipelago2.var,Distance_raw,Distance,diff_sst,diff_past_sst,Group1,Group2
125,French_Polynesia,Seychelles,0.178005083,0.005147648,0.172857435,772.0625299,337.551927,155.267106,88.4,9.428571225,65.0617224,646.708252,136.6513469,93.2,12.85714245,French_Polynesia/Seychelles,French_Polynesia,Seychelles,"16.336,7",16.336,0.37,1.14206,Across_Oceans,Pacific-Indian
126,French_Polynesia,Virgin_Islands,0.583053885,0.512077095,0.070976791,706.3546079,208.310173,230.4151486,75.9,8.071428775,66.3541216,388.224744,13.6447381,68.2,10.14285755,French_Polynesia/Virgin_Islands,French_Polynesia,Virgin_Islands,"10.080,27",10.08,0.28,0.65754,Across_Oceans,Pacific-Atlantic
127,Galapagos,Hawaii,0.600134589,4.81E-05,0.600086482,1115.90262,249.864708,457.5485513,14.155,1.714285732,154.58046,252.098028,135.8508838,21.69,3.428571463,Galapagos/Hawaii,Hawaii,Galapagos,"7.643,45",7.643,2.02,2.88854,Within_Oceans,Pacific
128,Galapagos,Islas_Revillagigedo,0.224584094,3.45E-06,0.224580645,974.4807,64.973847,365.9906495,6.655,0.428571433,437.4243001,117.683694,318.9666874,6.69,0.857142866,Galapagos/Islas_Revillagigedo,Galapagos,Islas_Revillagigedo,"3.226,53",3.226,1.13,1.18231,Within_Regions,Eastern_Tropical
129,Galapagos,Juan_Fernandez_Islands,0.996299115,0.001995706,0.994303409,1193.19285,123.815694,525.4739932,2.355,0,0,0,0,1.91,0,Galapagos/Juan_Fernandez_Islands,Juan_Fernandez_Islands,Galapagos,"3.860,25",3.86,6.3,5.36677,Within_Regions,Eastern_Tropical
130,Galapagos,Maldives,0.545279158,0.082385818,0.462893341,1098.318103,969.562082,273.8935575,3.655,16.5714283,189.749495,1691.492776,503.1608714,0.69,33.1428566,Galapagos/Maldives,Galapagos,Maldives,"18.339,57",18.339,5.43,2.58286,Across_Oceans,Pacific-Indian
131,Galapagos,Maluku_Islands,0.585361051,0.236917614,0.348443437,920.7241572,494.325768,263.2927009,3.355,31.7142849,544.9373856,741.020148,524.3625846,0.09,63.42856979,Galapagos/Maluku_Islands,Galapagos,Maluku_Islands,"15.507,15",15.507,5.55,3.10782,Within_Oceans,Pacific
132,Galapagos,Marianas_Islands,0.706359906,0,0.706359906,1050.950654,86.878628,286.6326467,16.655,0.928571403,284.4843927,73.874132,477.682693,26.69,1.857142806,Galapagos/Marianas_Islands,Galapagos,Marianas_Islands,"13.651,9",13.651,5.14,3.75119,Within_Oceans,Pacific
133,Galapagos,Sao_Tome_Principe_and_Annobon,0.593563047,0.003135403,0.590427644,1826.123301,61.907847,495.916805,17.155,15.4285717,1265.860901,123.815694,59.1143765,27.69,30.8571434,Galapagos/Sao_Tome_Principe_and_Annobon,Galapagos,Sao_Tome_Principe_and_Annobon,"10.887,42",10.887,3.69,2.75549,Across_Oceans,Pacific-Atlantic
134,Galapagos,Seychelles,0.334870693,2.30E-05,0.334847658,998.8931206,392.3608735,306.2077129,69.155,7.928571225,388.5994589,537.090359,438.5325606,131.69,15.85714245,Galapagos/Seychelles,Galapagos,Seychelles,"16.286,28",16.286,4.32,2.87114,Across_Oceans,Pacific-Indian
135,Galapagos,Virgin_Islands,0.474450182,0.460287258,0.014162923,933.1851986,263.1191195,381.3557554,56.655,6.571428775,520.0153029,278.606851,288.2364756,106.69,13.14285755,Galapagos/Virgin_Islands,Galapagos,Virgin_Islands,"3.580,78",3.58,4.23,1.07154,Across_Oceans,Pacific-Atlantic
136,Hawaii,Islas_Revillagigedo,0.726749309,0,0.726749309,897.19047,191.022861,298.0652076,17.5,2.142857165,282.8438401,369.781722,183.1158036,15,2.571428597,Hawaii/Islas_Revillagigedo,Hawaii,Islas_Revillagigedo,"4.742,6",4.742,0.89,4.07085,Within_Oceans,Pacific
137,Hawaii,Juan_Fernandez_Islands,0.999072058,9.28E-05,0.998979217,1115.90262,249.864708,457.5485513,13.2,1.714285732,154.58046,252.098028,135.8508838,23.6,3.428571463,Hawaii/Juan_Fernandez_Islands,Hawaii,Juan_Fernandez_Islands,"10.334,74",10.334,8.32,8.25531,Within_Oceans,Pacific
138,Hawaii,Maldives,0.256772679,0.138591379,0.1181813,1021.027873,1095.611096,205.9681156,14.5,18.28571403,35.169035,1439.394748,367.3099876,21,29.71428514,Hawaii/Maldives,Hawaii,Maldives,"13.766,4",13.766,3.41,0.30568,Across_Oceans,Pacific-Indian
139,Hawaii,Maluku_Islands,0.837525338,0.04735442,0.790170918,843.4339272,620.374782,195.367259,14.2,33.42857063,390.3569256,488.92212,388.5117008,21.6,59.99999833,Hawaii/Maluku_Islands,Hawaii,Maluku_Islands,"8.313,27",8.313,3.53,0.21928,Within_Oceans,Pacific
140,Hawaii,Marianas_Islands,0.576025217,0.480155806,0.095869411,973.6604237,212.927642,218.7072048,27.5,2.642857135,129.9039327,325.97216,341.8318092,5,1.571428657,Hawaii/Marianas_Islands,Hawaii,Marianas_Islands,"6.034,68",6.034,3.12,0.86265,Within_Oceans,Pacific
141,Hawaii,Sao_Tome_Principe_and_Annobon,0.87971493,0,0.87971493,1748.833071,187.956861,427.9913631,28,17.14285743,1420.441361,375.913722,76.7365073,6,27.42857194,Hawaii/Sao_Tome_Principe_and_Annobon,Hawaii,Sao_Tome_Principe_and_Annobon,"17.138,9",17.138,1.67,5.64403,Across_Oceans,Pacific-Atlantic
142,Hawaii,Seychelles,0.469727687,0.206214872,0.263512815,921.6028906,518.4098875,238.282271,80,9.642856957,234.0189989,284.992331,302.6816768,110,12.42857099,Hawaii/Seychelles,Hawaii,Seychelles,"15.966,46",15.966,2.3,0.0174,Across_Oceans,Pacific-Indian
143,Hawaii,Virgin_Islands,0.583110878,0.000132319,0.582978559,855.8949686,389.1681335,313.4303135,67.5,8.285714507,365.4348429,26.508823,152.3855918,85,9.714286087,Hawaii/Virgin_Islands,Hawaii,Virgin_Islands,"9.656,76",9.656,2.21,1.817,Across_Oceans,Pacific-Atlantic
144,Islas_Revillagigedo,Juan_Fernandez_Islands,0.994412542,0.044884776,0.949527766,974.4807,64.973847,365.9906495,5.7,0.428571433,437.4243001,117.683694,318.9666874,8.6,0.857142866,Islas_Revillagigedo/Juan_Fernandez_Islands,Juan_Fernandez_Islands,Islas_Revillagigedo,"6.900,71",6.9,7.43,4.18446,Within_Regions,Eastern_Tropical
145,Islas_Revillagigedo,Maldives,0.654846465,1.80E-09,0.654846463,879.6059525,910.720235,114.4102138,7,16.99999973,247.6748051,1809.17647,184.194184,6,32.28571373,Islas_Revillagigedo/Maldives,Islas_Revillagigedo,Maldives,"17.401,34",17.401,4.3,3.76517,Across_Oceans,Pacific-Indian
146,Islas_Revillagigedo,Maluku_Islands,0.531412374,0.368003231,0.163409143,702.0120072,435.483921,103.8093572,6.7,32.14285633,107.5130855,858.703842,205.3958972,6.6,62.57142692,Islas_Revillagigedo/Maluku_Islands,Islas_Revillagigedo,Maluku_Islands,"13.005,21",13.005,4.42,4.29013,Within_Oceans,Pacific
