,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,mean_isolation,mean_reef_area,mean_past_isolation,mean_age,mean_past_reef_area,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,Distance,Group1,Group2
46,Azores,Maldives,0.244027013,0.015813111,0.228213903,897.0984345,907.654235,330.7431011,13.285,16.5714283,212.6898411,1815.30847,616.8599586,18.57,33.1428566,10.04,11.45423,10.751,Across_Oceans,Atlantic-Indian
47,Azores,Maluku_Islands,0.267920415,0.000517911,0.267402504,719.5044892,432.417921,320.1422445,12.985,31.7142849,142.4980495,864.835842,638.0616718,19.17,63.42856979,10.16,11.97919,15.425,Across_Oceans,Pacific-Atlantic
48,Azores,Marianas_Islands,0.269287477,0.004565131,0.264722346,849.7309856,24.970781,343.4821903,26.285,0.928571403,117.9549434,49.941562,591.3817802,7.43,1.857142806,9.75,12.62256,14.123,Across_Oceans,Pacific-Atlantic
49,Azores,Sao_Tome_Principe_and_Annobon,0.079403611,0.060234752,0.01916886,1624.903632,0,552.7663486,26.785,15.4285717,1668.300237,0,172.8134637,8.43,30.8571434,8.3,6.11588,5.515,Within_Regions,Eastern_Atlantic
50,Azores,Seychelles,0.249492761,0.014083567,0.235409194,797.6734525,330.4530265,363.0572565,78.785,7.928571225,13.8398772,660.906053,552.2316478,112.43,15.85714245,8.93,11.74251,9.757,Across_Oceans,Atlantic-Indian
51,Azores,Virgin_Islands,0.14299603,0.134840723,0.008155307,731.9655305,201.2112725,438.205299,66.285,6.571428775,117.5759668,402.422545,401.9355628,87.43,13.14285755,8.84,9.94291,4.216,Within_Oceans,Atlantic
52,Bermuda,Canary_Islands,0.151741338,0.111924478,0.03981686,816.5213933,365.3305,453.0440204,36,1.714285732,4.684399,346.585,286.0867822,22,3.428571463,2.2,2.2239,4.629,Within_Oceans,Atlantic
53,Bermuda,Cape_Verde,0.142140555,0.078972757,0.063167798,804.8085534,421.772,474.5868549,31,1.714285732,28.1100789,233.702,329.1724511,32,3.428571463,0.73,1.69082,4.503,Within_Oceans,Atlantic
54,Bermuda,Cook_Islands,0.191592879,0.01900146,0.17259142,794.3885788,295.118381,249.620845,32.75,3,48.950028,487.009238,120.7595687,28.5,0.857142926,3.42,6.47114,11.698,Across_Oceans,Pacific-Atlantic
55,Bermuda,Fiji,0.25013283,1.34E-05,0.250119424,802.6790938,1480.27746,163.1721002,37.5,18.42857063,32.3689981,1883.30892,293.6570581,19,29.99999833,3.57,6.7985,13.446,Across_Oceans,Pacific-Atlantic
56,Bermuda,French_Polynesia,0.199608615,0.000464766,0.199143849,779.1976308,276.4104005,266.7967044,44.4,3.214285732,79.3319241,524.425199,86.4078498,5.2,0.428571463,4.02,5.50694,10.559,Across_Oceans,Pacific-Atlantic
57,Bermuda,Galapagos,0.128270129,0.048089486,0.080180643,1006.028221,331.219347,417.7373113,25.155,1.714285732,374.3292572,414.807306,215.4733639,43.69,3.428571463,0.07,3.77786,4.594,Across_Oceans,Pacific-Atlantic
58,Bermuda,Hawaii,0.204657161,0.014227851,0.190429311,928.7379914,457.268361,349.8118694,36,3.428571463,219.7487972,162.709278,79.6224801,22,0,2.09,6.6664,9.07,Across_Oceans,Pacific-Atlantic
59,Bermuda,Islas_Revillagigedo,0.171346642,0.161326615,0.010020027,787.3160714,272.3775,258.2539676,28.5,2.142857165,63.0950429,532.491,103.4933235,37,2.571428597,1.2,2.59555,4.915,Across_Oceans,Pacific-Atlantic
