,Archipelago,Island1,Island2,beta_sor,beta_sim,beta_sne,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
1,American_Samoa,Tutuila,Tau,0.959459459,0.85,0.109459459,77.725,226.23,0.725,139.75,77.91,346.32,1.35,133.9719921,0.07983562,0.185986137
2,American_Samoa,Tutuila,Ofu,0.940298507,0.333333333,0.606965174,62.485,218.255,0.9,113.74,108.39,362.27,1,106.7461508,0.07983562,0.020711708
3,American_Samoa,Tau,Ofu,0.923076923,0.833333333,0.08974359,23.53,45.095,0.225,26.19,30.48,15.95,0.35,23.77992745,0,0.206697845
4,American_Samoa,Tau,Tutuila,0.959459459,0.85,0.109459459,77.725,226.23,0.725,139.75,77.91,346.32,1.35,133.9719921,0.07983562,0.185986137
5,American_Samoa,Ofu,Tutuila,0.940298507,0.333333333,0.606965174,62.485,218.255,0.9,113.74,108.39,362.27,1,106.7461508,0.07983562,0.020711708
6,American_Samoa,Ofu,Tau,0.923076923,0.833333333,0.08974359,23.53,45.095,0.225,26.19,30.48,15.95,0.35,23.77992745,0,0.206697845
7,Galapagos,Espanola_Island,Fernandina_Island,0.93877551,0.7,0.23877551,3093.865,4091.75,1.78,228.43,5989.47,7469.9,3.44,217.5005745,0.84386302,0.330887222
8,Galapagos,Espanola_Island,Floreana_Island,0.868512111,0.05,0.818512111,205.645,944.935,2.9,189.28,213.03,1176.27,1.2,172.1178421,0.01767123,0.122520638
9,Galapagos,Espanola_Island,Genovesa_Island,0.794871795,0.789473684,0.005398111,62.065,200.09,2.15,189.82,74.13,313.42,2.7,183.8852362,0.90082192,0.099362755
10,Galapagos,Espanola_Island,Isabela,0.843902439,0.2,0.643902439,4172.735,6114.845,2.15,174.34,8147.21,11516.09,2.7,159.0582614,0.84386302,0.089203344
11,Galapagos,Espanola_Island,San_Cristobal,0.90430622,0,0.90430622,991.78,1972.955,3.75,65.57,1785.3,3232.31,0.5,51.22158426,0.2830137,0.065012741
12,Galapagos,Espanola_Island,Santa_Cruz,0.926640927,0.05,0.876640927,3177.58,5012.205,2.9,112.22,6156.9,9310.81,1.2,96.33147282,0.88969863,0.270053864
13,Galapagos,Espanola_Island,Santiago_Island,0.900928793,0.2,0.700928793,3754.48,5369.9,2.45,168.58,7310.7,10026.2,2.1,154.6166561,0.88969863,0.065337181
14,Galapagos,Fernandina_Island,Floreana_Island,0.424719101,0.272727273,0.151991828,3200.38,4679.885,1.18,156.8,5776.44,6293.63,2.24,138.7879404,0.86153425,0.208366584
15,Galapagos,Fernandina_Island,Genovesa_Island,0.876923077,0.368421053,0.508502024,3056.8,3935.04,0.43,189.4,6063.6,7783.32,0.74,182.6153345,0.0569589,0.430249977
16,Galapagos,Fernandina_Island,Isabela,0.567867036,0.556818182,0.011048854,7167.47,9849.795,0.43,90.17,2157.74,4046.19,0.74,74.0383597,0,0.241683878
17,Galapagos,Fernandina_Island,San_Cristobal,0.557491289,0.278409091,0.279082198,3986.515,5707.905,2.03,119.67,4204.17,4237.59,3.94,104.4716826,0.56084932,0.395899963
18,Galapagos,Fernandina_Island,Santa_Cruz,0.534124629,0.107954545,0.426170084,6172.315,8747.155,1.18,74.18,167.43,1840.91,2.24,57.44157112,0.04583561,0.060833358
19,Galapagos,Fernandina_Island,Santiago_Island,0.39874739,0.181818182,0.216929209,6749.215,9104.85,0.73,117.49,1321.23,2556.3,1.34,102.6767543,0.04583561,0.265550041
20,Galapagos,Floreana_Island,Genovesa_Island,0.888888889,0.157894737,0.730994152,168.58,788.225,1.55,185.07,287.16,1489.69,1.5,172.0526021,0.91849315,0.221883393
21,Galapagos,Floreana_Island,Isabela,0.475770925,0.356756757,0.119014168,4279.25,6702.98,1.55,89.17,7934.18,10339.82,1.5,66.80562725,0.86153425,0.033317294
22,Galapagos,Floreana_Island,San_Cristobal,0.340329835,0.182156134,0.158173701,1098.295,2561.09,3.15,121.55,1572.27,2056.04,1.7,100.1189501,0.30068493,0.187533379
23,Galapagos,Floreana_Island,Santa_Cruz,0.358539765,0.085501859,0.273037907,3284.095,5600.34,2.3,72.72,5943.87,8134.54,0,49.74883866,0.90736986,0.147533226
24,Galapagos,Floreana_Island,Santiago_Island,0.272727273,0.226765799,0.045961473,3860.995,5958.035,1.85,117.38,7097.67,8849.93,0.9,96.33402189,0.90736986,0.057183457
25,Galapagos,Genovesa_Island,Isabela,0.852941176,0.210526316,0.642414861,4135.67,5958.135,0.8,192.22,8221.34,11829.51,0,181.0830214,0.0569589,0.188566099
26,Galapagos,Genovesa_Island,San_Cristobal,0.913669065,0.052631579,0.861037486,954.715,1816.245,2.4,141.88,1859.43,3545.73,3.2,131.6763443,0.61780822,0.034350014
27,Galapagos,Genovesa_Island,Santa_Cruz,0.934235977,0.105263158,0.828972819,3140.515,4855.495,1.55,115.81,6231.03,9624.23,1.5,104.0662328,0.01112329,0.369416619
28,Galapagos,Genovesa_Island,Santiago_Island,0.900621118,0.157894737,0.742726381,3717.415,5213.19,1.1,107.83,7384.83,10339.62,0.6,98.01141606,0.01112329,0.164699936
