,Archipelago,Island1,Island2,beta_sor,beta_turn,beta_nest,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
319,Cape_Verde,Santa_Luzia,Saint_Nicholas,0.997428909,0.015892424,0.981536485,590.625,695.395,9.225,48.23,381.69,473.09,11.55,45.97369726,0.36221918,0.004050064
320,Cape_Verde,Santa_Luzia,Sal,0.997014398,0,0.997014398,522.885,680.685,5.975,193.74,517.17,502.51,5.05,189.7690677,0.37175343,0.050616646
321,Cape_Verde,Santiago,Boa_Vista,0.144882641,0.015194077,0.129688564,875.925,1386.285,8.9,145.22,355.09,460.41,12.2,136.5750978,0.47972603,0.086166573
322,Cape_Verde,Santiago,Brava,0.028184669,0.014935467,0.013249202,595.775,654.935,2.9,121.19,915.39,1002.29,0.2,119.9519205,0.09810959,0.265927696
323,Cape_Verde,Santiago,Fogo,0.063919707,0.010261685,0.053658022,762.24,824.81,3.425,81.48,582.46,662.54,1.25,80.31947939,0.28139726,0.89173336
324,Cape_Verde,Santiago,Maio,0.87462185,0,0.87462185,700.225,824.81,8.9,51.46,706.49,662.54,12.2,48.56439013,0.10731507,0.136183357
325,Cape_Verde,Santiago,Saint_Nicholas,0.063420546,0.007741241,0.055679305,726.625,807.465,8.9,183.31,653.69,697.23,12.2,181.6342109,0.71430137,0.003033447
326,Cape_Verde,Santiago,Sal,0.145877786,0.026779784,0.119098002,658.885,792.755,5.65,198.59,789.17,726.65,5.7,195.1995813,0.70476712,0.051633263
327,Cape_Verde,Santiago,Santa_Luzia,0.997686958,0.00953462,0.988152338,917.47,1044.01,3.125,222.13,272,224.14,0.65,219.8072985,1.07652055,0.001016617
328,Cape_Verde,Santo_Antao,Boa_Vista,0.171515682,1.70E-07,0.171515512,926.145,1461.455,8.71,273.01,455.53,310.07,12.58,264.0089769,0.59679452,0.38824997
329,Cape_Verde,Santo_Antao,Brava,0.054169492,2.84E-06,0.054166655,645.995,730.105,2.71,250.18,1015.83,1152.63,0.58,248.5857996,0.97841096,0.036155701
330,Cape_Verde,Santo_Antao,Fogo,0.038677065,0.025523818,0.013153247,812.46,899.98,3.235,253.89,682.9,812.88,1.63,252.3733585,0.79512329,0.589649963
331,Cape_Verde,Santo_Antao,Maio,0.883871921,2.35E-05,0.883848433,750.445,899.98,8.71,295.47,806.93,812.88,12.58,292.2182693,0.96920548,0.438266754
332,Cape_Verde,Santo_Antao,Saint_Nicholas,0.097851353,0.001341887,0.096509465,776.845,882.635,8.71,104.57,754.13,847.57,12.58,102.53809,0.36221918,0.29904995
333,Cape_Verde,Santo_Antao,Sal,0.16231227,2.89E-08,0.162312242,709.105,867.925,5.46,236.19,889.61,876.99,6.08,232.4434604,0.37175343,0.35371666
334,Cape_Verde,Santo_Antao,Santa_Luzia,0.997847355,0,0.997847355,967.69,1119.18,2.935,54.88,372.44,374.48,1.03,52.20117758,0,0.303100014
335,Cape_Verde,Santo_Antao,Santiago,0.044516866,0.003930616,0.04058625,1103.69,1231.25,2.61,276.68,100.44,150.34,0.38,274.5816912,1.07652055,0.302083397
336,Cape_Verde,Sao_Vicente,Boa_Vista,0.081806144,0.010880088,0.070926057,769.165,1303.45,9.36,246.48,141.57,626.08,11.28,237.3019864,0.59679452,0.05031681
337,Cape_Verde,Sao_Vicente,Brava,0.101731691,0.057289127,0.044442564,489.015,572.1,3.36,222.73,701.87,836.62,0.72,220.9588091,0.97841096,0.402411079
338,Cape_Verde,Sao_Vicente,Fogo,0.119792294,0.006095752,0.113696542,655.48,741.975,3.885,222.73,368.94,496.87,0.33,221.036368,0.79512329,1.028216743
339,Cape_Verde,Sao_Vicente,Maio,0.861944244,0.016744259,0.845199985,593.465,741.975,9.36,264.29,492.97,496.87,11.28,260.8612787,0.96920548,0.000300026
340,Cape_Verde,Sao_Vicente,Saint_Nicholas,0.120475069,0.116537917,0.003937152,619.865,724.63,9.36,75.26,440.17,531.56,11.28,73.05109947,0.36221918,0.13951683
341,Cape_Verde,Sao_Vicente,Sal,0.122140443,0.0638345,0.058305943,552.125,709.92,6.11,216.02,575.65,560.98,4.78,212.0964699,0.37175343,0.08485012
342,Cape_Verde,Sao_Vicente,Santa_Luzia,0.997364028,2.66E-14,0.997364028,810.71,961.175,3.585,25.78,58.48,58.47,0.27,22.92418707,0,0.135466766
343,Cape_Verde,Sao_Vicente,Santiago,0.104783298,0.047079122,0.057704177,946.71,1073.245,3.26,242.45,213.52,165.67,0.92,240.1747007,1.07652055,0.136483383
344,Cape_Verde,Sao_Vicente,Santo_Antao,0.103622153,0.002858926,0.100763227,996.93,1148.415,3.07,34.6,313.96,316.01,1.3,31.96857979,0,0.43856678
345,Cook_Islands,Aitutaki,Atiu,0.034860427,0.002820517,0.03203991,34.81,59.605,4.115,215.86,3.2,22.83,6.55,213.8445137,0.51241095,0.065627671
346,Cook_Islands,Aitutaki,Mangaia,0.0975055,0.002064296,0.095441204,40.835,53.19,9.62,393.12,15.25,10,17.56,392.0785031,1.6579452,0.218865395
347,Cook_Islands,Aitutaki,Mauke,0.085123493,0.023961585,0.061161909,30.77,48.26,2.74,294.98,4.88,0.14,3.8,293.3954878,0.52131506,0.059621239
348,Cook_Islands,Aitutaki,Mitiaro,0.029125816,0.002209589,0.026916227,22.445,54.79,6.57,242.8,21.53,13.2,11.46,239.6424196,0.52131506,0.007074547
349,Cook_Islands,Aitutaki,Nassau,0.351413632,0.030849429,0.320564203,18.6,42.255,9.67,1010.37,29.22,11.87,17.66,1007.431588,2.0720822,0.070237771
350,Cook_Islands,Aitutaki,Rarotonga,0.31291504,0,0.31291504,54.62,66.6,0.97,261.64,42.82,36.82,0.26,260.6923542,1.0309863,0.245684815
351,Cook_Islands,Aitutaki,Takutea,0.364112644,0.053180297,0.310932347,34.81,59.605,9.67,189.6,3.2,22.83,17.66,187.5845137,0.51241095,0.04515152
352,Cook_Islands,Atiu,Mangaia,0.066972765,0.003491323,0.063481442,42.435,64.605,12.895,215.11,12.05,12.83,11.01,213.3834773,1.14553425,0.153237724
353,Cook_Islands,Atiu,Mauke,0.061619975,0.032004653,0.029615322,32.37,59.675,6.015,82.86,8.08,22.69,2.75,80.59046203,0.00890411,0.006006432
354,Cook_Islands,Atiu,Mitiaro,0.007395765,0.002248189,0.005147576,24.045,66.205,9.845,45.02,24.73,9.63,4.91,41.17739382,0.00890411,0.058553124
355,Cook_Islands,Atiu,Nassau,0.359082506,0,0.359082506,20.2,53.67,12.945,1216.44,32.42,34.7,11.11,1212.816562,2.58449315,0.0046101
356,Cook_Islands,Atiu,Rarotonga,0.285314321,0.002342526,0.282971795,56.22,78.015,4.245,221.5,39.62,13.99,6.29,219.8673285,0.51857535,0.180057144
357,Cook_Islands,Atiu,Takutea,0.356762707,0,0.356762707,36.41,71.02,12.945,27.45,0,0,11.11,24.7494879,0,0.020476151
358,Cook_Islands,Mangaia,Mauke,0.03317402,1.93E-16,0.03317402,38.395,53.26,11.52,207.78,20.13,9.86,13.76,206.4844514,1.13663014,0.159244156
359,Cook_Islands,Mangaia,Mitiaro,0.070702173,0.001999411,0.068702762,30.07,59.79,15.35,229.32,36.78,3.2,6.1,226.4513832,1.13663014,0.211790848
360,Cook_Islands,Mangaia,Nassau,0.413331427,2.18E-16,0.413331427,26.225,47.255,18.45,1399.22,44.47,21.87,0.1,1396.570552,3.7300274,0.148627624
361,Cook_Islands,Mangaia,Rarotonga,0.243897969,0.025667593,0.218230377,62.245,71.6,9.75,206.93,27.57,26.82,17.3,206.2713178,0.6269589,0.02681942
362,Cook_Islands,Mangaia,Takutea,0.411122904,0,0.411122904,42.435,64.605,18.45,238.08,12.05,12.83,0.1,236.3534773,1.14553425,0.173713875
363,Cook_Islands,Mauke,Mitiaro,0.065285076,0.030632093,0.034652983,20.005,54.86,8.47,46.12,16.65,13.06,7.66,42.70836795,0,0.052546692
364,Cook_Islands,Mauke,Nassau,0.389958433,0.007348198,0.382610235,16.16,42.325,11.57,1282.29,24.34,12.01,13.86,1279.097537,2.59339726,0.010616532
365,Cook_Islands,Mauke,Rarotonga,0.263843123,0.011529273,0.25231385,52.18,66.67,2.87,278.53,47.7,36.68,3.54,277.3283026,0.50967124,0.186063576
366,Cook_Islands,Mauke,Takutea,0.383174852,0,0.383174852,32.37,59.675,11.57,105.58,8.08,22.69,13.86,103.310462,0.00890411,0.014469719
367,Cook_Islands,Mitiaro,Nassau,0.354580216,0,0.354580216,7.835,48.855,15.4,1235.45,7.69,25.07,6.2,1230.684468,2.59339726,0.063163224
368,Cook_Islands,Mitiaro,Rarotonga,0.290053473,0.002360878,0.287692595,43.855,73.2,6.7,261.49,64.35,23.62,11.2,258.7152344,0.50967124,0.238610268
369,Cook_Islands,Mitiaro,Takutea,0.352251888,0,0.352251888,24.045,66.205,15.4,61.92,24.73,9.63,6.2,58.07739382,0.00890411,0.038076973
370,Cook_Islands,Nassau,Rarotonga,0.583309365,0,0.583309365,40.01,60.665,9.8,1227.46,72.04,48.69,17.4,1224.904403,3.1030685,0.175447044
371,Cook_Islands,Nassau,Takutea,0.48412091,0.482744676,0.001376234,20.2,53.67,18.5,220.74,32.42,34.7,0,217.1165625,2.58449315,0.025086251
372,Cook_Islands,Rarotonga,Takutea,0.581551274,0,0.581551274,56.22,78.015,9.8,220.58,39.62,13.99,17.4,218.9473285,0.51857535,0.200533295
373,Cook_Islands,Atiu,Aitutaki,0.034860427,0.002820517,0.03203991,34.81,59.605,4.115,215.86,3.2,22.83,6.55,213.8445137,0.51241095,0.065627671
