,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,mean_sst,mean_past_sst,Group1,Group2,Archipelago1.var,Archipelago2.var,Distance_raw,Distance
129,Galapagos,Juan_Fernandez_Islands,0.977207977,0.925925926,0.051282051,0,0,0,1.91,0,6.3,5.36677,20.82,21.474675,Within_Regions,Eastern_Tropical,Juan_Fernandez_Islands,Galapagos,"3.860,25",3.86
130,Galapagos,Maldives,0.886606409,0.767676768,0.118929642,189.749495,1691.492776,503.1608714,0.69,33.1428566,5.43,2.58286,26.685,25.44949,Across_Oceans,Pacific-Indian,Galapagos,Maldives,"18.339,57",18.339
131,Galapagos,Maluku_Islands,0.920520231,0.814814815,0.105705416,544.9373856,741.020148,524.3625846,0.09,63.42856979,5.55,3.10782,26.745,25.71197,Within_Oceans,Pacific,Galapagos,Maluku_Islands,"15.507,15",15.507
132,Galapagos,Marianas_Islands,0.87628866,0.737373737,0.138914922,284.4843927,73.874132,477.682693,26.69,1.857142806,5.14,3.75119,26.54,26.033655,Within_Oceans,Pacific,Galapagos,Marianas_Islands,"13.651,9",13.651
133,Galapagos,Sao_Tome_Principe_and_Annobon,0.951903808,0.940594059,0.011309748,1265.860901,123.815694,59.1143765,27.69,30.8571434,3.69,2.75549,25.815,22.780315,Across_Oceans,Pacific-Atlantic,Galapagos,Sao_Tome_Principe_and_Annobon,"10.887,42",10.887
134,Galapagos,Seychelles,0.900306748,0.781144781,0.119161967,388.5994589,537.090359,438.5325606,131.69,15.85714245,4.32,2.87114,26.13,25.59363,Across_Oceans,Pacific-Indian,Galapagos,Seychelles,"16.286,28",16.286
135,Galapagos,Virgin_Islands,0.944606414,0.936026936,0.008579478,520.0153029,278.606851,288.2364756,106.69,13.14285755,4.23,1.07154,26.085,24.69383,Across_Oceans,Pacific-Atlantic,Galapagos,Virgin_Islands,"3.580,78",3.58
136,Hawaii,Islas_Revillagigedo,0.838888889,0.668571429,0.17031746,282.8438401,369.781722,183.1158036,15,2.571428597,0.89,4.07085,25.545,25.011175,Within_Oceans,Pacific,Hawaii,Islas_Revillagigedo,"4.742,6",4.742
137,Hawaii,Juan_Fernandez_Islands,0.986644407,0.925925926,0.060718481,154.58046,252.098028,135.8508838,23.6,3.428571463,8.32,8.25531,21.83,22.918945,Within_Oceans,Pacific,Hawaii,Juan_Fernandez_Islands,"10.334,74",10.334
138,Hawaii,Maldives,0.661433447,0.544954128,0.116479319,35.169035,1439.394748,367.3099876,21,29.71428514,3.41,0.30568,27.695,26.89376,Across_Oceans,Pacific-Indian,Hawaii,Maldives,"13.766,4",13.766
139,Hawaii,Maluku_Islands,0.778186275,0.667889908,0.110296366,390.3569256,488.92212,388.5117008,21.6,59.99999833,3.53,0.21928,27.755,27.15624,Within_Oceans,Pacific,Hawaii,Maluku_Islands,"8.313,27",8.313
140,Hawaii,Marianas_Islands,0.578528827,0.416513761,0.162015066,129.9039327,325.97216,341.8318092,5,1.571428657,3.12,0.86265,27.55,27.477925,Within_Oceans,Pacific,Hawaii,Marianas_Islands,"6.034,68",6.034
141,Hawaii,Sao_Tome_Principe_and_Annobon,0.946452477,0.900990099,0.045462378,1420.441361,375.913722,76.7365073,6,27.42857194,1.67,5.64403,26.825,24.224585,Across_Oceans,Pacific-Atlantic,Hawaii,Sao_Tome_Principe_and_Annobon,"17.138,9",17.138
142,Hawaii,Seychelles,0.708762887,0.585321101,0.123441786,234.0189989,284.992331,302.6816768,110,12.42857099,2.3,0.0174,27.14,27.0379,Across_Oceans,Pacific-Indian,Hawaii,Seychelles,"15.966,46",15.966
143,Hawaii,Virgin_Islands,0.952890792,0.94344473,0.009446062,365.4348429,26.508823,152.3855918,85,9.714286087,2.21,1.817,27.095,26.1381,Across_Oceans,Pacific-Atlantic,Hawaii,Virgin_Islands,"9.656,76",9.656
144,Islas_Revillagigedo,Juan_Fernandez_Islands,0.982532751,0.962962963,0.019569788,437.4243001,117.683694,318.9666874,8.6,0.857142866,7.43,4.18446,21.385,20.88352,Within_Regions,Eastern_Tropical,Juan_Fernandez_Islands,Islas_Revillagigedo,"6.900,71",6.9
145,Islas_Revillagigedo,Maldives,0.914155251,0.731428571,0.18272668,247.6748051,1809.17647,184.194184,6,32.28571373,4.3,3.76517,27.25,24.858335,Across_Oceans,Pacific-Indian,Islas_Revillagigedo,Maldives,"17.401,34",17.401
146,Islas_Revillagigedo,Maluku_Islands,0.941362916,0.788571429,0.152791487,107.5130855,858.703842,205.3958972,6.6,62.57142692,4.42,4.29013,27.31,25.120815,Within_Oceans,Pacific,Islas_Revillagigedo,Maluku_Islands,"13.005,21",13.005
147,Islas_Revillagigedo,Marianas_Islands,0.90166813,0.68,0.22166813,152.9399074,43.809562,158.7160056,20,0.99999994,4.01,4.9335,27.105,25.4425,Within_Oceans,Pacific,Islas_Revillagigedo,Marianas_Islands,"10.719,98",10.719
148,Islas_Revillagigedo,Sao_Tome_Principe_and_Annobon,0.936339523,0.931428571,0.004910951,1703.285201,6.132,259.8523109,21,30.00000053,2.56,1.57318,26.38,22.18916,Across_Oceans,Pacific-Atlantic,Islas_Revillagigedo,Sao_Tome_Principe_and_Annobon,"13.092,05",13.092
149,Islas_Revillagigedo,Seychelles,0.917089679,0.72,0.197089679,48.8248412,654.774053,119.5658732,125,14.99999958,3.19,4.05345,26.695,25.002475,Across_Oceans,Pacific-Indian,Islas_Revillagigedo,Seychelles,"17.959,85",17.959
150,Islas_Revillagigedo,Virgin_Islands,0.939716312,0.902857143,0.036859169,82.5910028,396.290545,30.7302118,100,12.28571468,3.1,2.25385,26.65,24.102675,Across_Oceans,Pacific-Atlantic,Islas_Revillagigedo,Virgin_Islands,"5.058,08",5.058
151,Juan_Fernandez_Islands,Maldives,0.995893224,0.962962963,0.032930261,189.749495,1691.492776,503.1608714,2.6,33.1428566,11.73,7.94963,23.535,22.766105,Across_Oceans,Pacific-Indian,Juan_Fernandez_Islands,Maldives,"15.591,38",15.591
