,Archipelago,Island1,Island2,beta_sor,beta_nest,beta_turn,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
872,Seychelles,Farquhar_Atoll,La_Digue,0.118698318,0.046817126,0.071881192,NA,NA,442.75,827.68,NA,NA,615.5,NA,NA,NA
873,Seychelles,Farquhar_Atoll,Mahe,0.210266922,0.210266922,0,NA,NA,444.285,779.34,NA,NA,618.57,NA,NA,NA
874,Seychelles,Farquhar_Atoll,Praslin,0.102234463,0.102234463,4.85E-16,NA,NA,443.625,825.82,NA,NA,617.25,NA,NA,NA
875,Seychelles,Farquhar_Atoll,Silhouette_Island,0.151036359,0.007117571,0.143918788,NA,NA,135,775.81,NA,NA,0,NA,NA,NA
876,Seychelles,Ile_Aride,Ile_au_Cerf,0.141551528,0.141551528,0,116.32,3066.345,135,49.71,149.1,2701.67,0,0.285840426,0.04419178,0.063080215
877,Seychelles,Ile_Aride,La_Digue,0.094147799,0.081369584,0.012778216,48.375,1587.175,442.75,25.17,13.21,256.67,615.5,-11.91737362,0.04419178,0.059062385
878,Seychelles,Ile_Aride,Mahe,0.189108179,0.177235174,0.011873005,109.39,3066.215,444.285,53.83,135.24,2701.41,618.57,4.118609041,0.04419178,0.16802082
879,Seychelles,Ile_Aride,Praslin,0.07035215,0.07035215,1.14E-16,48.375,2059.315,443.625,17.73,13.21,687.61,617.25,-25.46577742,0.04419178,0.078928375
880,Seychelles,Ile_Aride,Silhouette_Island,0.075394281,0.038943403,0.036450878,112.165,3065.285,135,56.63,140.79,2699.55,0,7.043272913,0.0559452,0.151620292
881,Seychelles,Ile_au_Cerf,La_Digue,0.060855842,0.059761244,0.001094598,122.925,2938.01,442.75,48.1,135.89,2958.34,615.5,1.031800242,0,0.00401783
882,Seychelles,Ile_au_Cerf,Mahe,0.312970188,0.312970188,0,183.94,4417.05,444.285,0.05,13.86,0.26,618.57,-59.64221709,0,0.104940605
883,Seychelles,Ile_au_Cerf,Praslin,0.209814252,0.209814252,0,122.925,3410.15,443.625,10.6,135.89,2014.06,617.25,-42.57660356,0,0.01584816
884,Seychelles,Ile_au_Cerf,Silhouette_Island,0.101990098,0.101685885,0.000304213,186.715,4416.12,135,68.2,8.31,2.12,0,8.632446779,0.01175342,0.088540077
885,Seychelles,La_Digue,Mahe,0.257973754,0.257973754,0,115.995,2937.88,752.035,53.11,122.03,2958.08,3.07,5.754568857,0,0.108958435
886,Seychelles,La_Digue,Praslin,0.151894173,0.151894173,0,54.98,1930.98,751.375,10.74,0,944.28,1.75,-30.09981761,0,0.01986599
887,Seychelles,La_Digue,Silhouette_Island,0.055281162,0.041568641,0.013712522,118.77,2936.95,442.75,68.97,127.58,2956.22,615.5,21.73923273,0.01175342,0.092557907
888,Seychelles,Mahe,Praslin,0.128642643,0.108142461,0.020500182,115.995,3410.02,752.91,48.54,122.03,2013.8,1.32,-4.923834944,0,0.089092445
889,Seychelles,Mahe,Silhouette_Island,0.218199598,0.218199598,3.70E-16,179.785,4415.99,444.285,33.42,5.55,1.86,618.57,-26.43478461,0.01175342,0.016400528
890,Seychelles,Praslin,Silhouette_Island,0.113609459,0.110062983,0.003546476,118.77,3409.09,443.625,59.81,127.58,2011.94,617.25,6.470828928,0.01175342,0.072691917
891,Seychelles,Farquhar_Atoll,Desroches,0.099165564,0.075699868,0.023465697,NA,NA,135,566.11,NA,NA,0,NA,NA,NA
892,Seychelles,Ile_Aride,Desroches,0.12630719,0.10727903,0.019028159,45.45,1876.535,135,274.65,7.36,322.05,0,233.4157505,0.15304109,NA
893,Seychelles,Ile_Aride,Farquhar_Atoll,0.10069968,0.029837674,0.070862007,41.77,1715.51,135,828.69,NA,NA,0,NA,NA,NA
894,Seychelles,Ile_au_Cerf,Desroches,0.057445882,0.03186118,0.025584702,120,3227.37,135,235.33,141.74,2379.62,0,184.1149243,0.10884931,0.026830292
895,Seychelles,Ile_au_Cerf,Farquhar_Atoll,0.134428498,0.106912986,0.027515512,190.87,4417.18,135,781.65,NA,NA,0,NA,NA,NA
896,Seychelles,Ile_au_Cerf,Ile_Aride,0.141551528,0.141551528,0,116.32,3066.345,135,49.71,149.1,2701.67,0,0.285840426,0.04419178,0.063080215
897,Seychelles,La_Digue,Desroches,0.054092658,0.026430238,0.027662421,52.055,1748.2,442.75,280.73,5.85,578.72,615.5,241.8517103,0.10884931,0.022812462
898,Seychelles,La_Digue,Farquhar_Atoll,0.118698318,0.046817126,0.071881192,54.98,1458.84,442.75,827.68,NA,NA,615.5,NA,NA,NA
899,Seychelles,La_Digue,Ile_Aride,0.094147799,0.081369584,0.012778216,48.375,1587.175,442.75,25.17,13.21,256.67,615.5,-11.91737362,0.04419178,0.059062385
900,Seychelles,La_Digue,Ile_au_Cerf,0.060855842,0.059761244,0.001094598,122.925,2938.01,442.75,48.1,135.89,2958.34,615.5,1.031800242,0,0.00401783
901,Seychelles,Mahe,Desroches,0.28352974,0.283028234,0.000501506,113.07,3227.24,444.285,229.01,127.88,2379.36,618.57,177.5076929,0.10884931,0.131770897
902,Seychelles,Mahe,Farquhar_Atoll,0.210266922,0.210266922,0,177.01,4416.92,444.285,779.34,NA,NA,618.57,NA,NA,NA
903,Seychelles,Mahe,Ile_Aride,0.189108179,0.177235174,0.011873005,109.39,3066.215,444.285,53.83,135.24,2701.41,618.57,4.118609041,0.04419178,0.16802082
904,Seychelles,Mahe,Ile_au_Cerf,0.312970188,0.312970188,0,183.94,4417.05,444.285,0.05,13.86,0.26,618.57,-59.64221709,0,0.104940605
905,Seychelles,Mahe,La_Digue,0.257973754,0.257973754,0,115.995,2937.88,752.035,53.11,122.03,2958.08,3.07,5.754568857,0,0.108958435
906,Seychelles,Praslin,Desroches,0.178867867,0.178225431,0.000642436,52.055,2220.34,443.625,276.33,5.85,365.56,617.25,231.3433065,0.10884931,0.042678452
907,Seychelles,Praslin,Farquhar_Atoll,0.102234463,0.102234463,4.85E-16,54.98,2403.12,443.625,825.82,NA,NA,617.25,NA,NA,NA
908,Seychelles,Praslin,Ile_Aride,0.07035215,0.07035215,1.14E-16,48.375,2059.315,443.625,17.73,13.21,687.61,617.25,-25.46577742,0.04419178,0.078928375
909,Seychelles,Praslin,Ile_au_Cerf,0.209814252,0.209814252,0,122.925,3410.15,443.625,10.6,135.89,2014.06,617.25,-42.57660356,0,0.01584816
910,Seychelles,Praslin,La_Digue,0.151894173,0.151894173,0,54.98,1930.98,751.375,10.74,0,944.28,1.75,-30.09981761,0,0.01986599
911,Seychelles,Praslin,Mahe,0.128642643,0.108142461,0.020500182,115.995,3410.02,752.91,48.54,122.03,2013.8,1.32,-4.923834944,0,0.089092445
912,Seychelles,Silhouette_Island,Desroches,0.092276311,0.067536164,0.024740148,115.845,3226.31,135,218.52,133.43,2377.5,0,167.1423568,0.09709589,0.115370369
913,Seychelles,Silhouette_Island,Farquhar_Atoll,0.151036359,0.007117571,0.143918788,182.56,4415.06,135,775.81,NA,NA,0,NA,NA,NA
914,Seychelles,Silhouette_Island,Ile_Aride,0.075394281,0.038943403,0.036450878,112.165,3065.285,135,56.63,140.79,2699.55,0,7.043272913,0.0559452,0.151620292
915,Seychelles,Silhouette_Island,Ile_au_Cerf,0.101990098,0.101685885,0.000304213,186.715,4416.12,135,68.2,8.31,2.12,0,8.632446779,0.01175342,0.088540077
916,Seychelles,Silhouette_Island,La_Digue,0.055281162,0.041568641,0.013712522,118.77,2936.95,442.75,68.97,127.58,2956.22,615.5,21.73923273,0.01175342,0.092557907
917,Seychelles,Silhouette_Island,Mahe,0.218199598,0.218199598,3.70E-16,179.785,4415.99,444.285,33.42,5.55,1.86,618.57,-26.43478461,0.01175342,0.016400528
918,Seychelles,Silhouette_Island,Praslin,0.113609459,0.110062983,0.003546476,118.77,3409.09,443.625,59.81,127.58,2011.94,617.25,6.470828928,0.01175342,0.072691917
,Hawaii,Hawaii_Island,Kahoolawe,0.24292217,0.00025396,0.24266821,6922.76,8152.165,13.01,148.02,10792.32,11709.97,23.98,138.8697744,7.56909589,1.273183251
,Hawaii,Hawaii_Island,Kauai,0.066015072,0.016389987,0.049625086,6952.895,8250.75,15.05,495.01,10732.05,11512.8,19.9,485.1541118,6.89315069,0.437683296
,Hawaii,Hawaii_Island,Kure,0.129145989,0.119858831,0.009287158,6161.63,7269.92,25,2507.42,12314.58,13474.46,0,2491.420719,4.86290411,0.968804296
,Hawaii,Hawaii_Island,Lanai,0.141632512,2.74E-16,0.141632512,7034.97,8824.76,13.14,191.1,10567.9,10364.78,23.72,176.5055238,7.25876712,1.084066582
,Hawaii,Hawaii_Island,Maui,0.019596893,0.001107268,0.018489625,10086.95,12324.075,13.16,152.28,4463.94,3366.15,23.68,139.9309769,5.93778082,1.02171669
,Hawaii,Hawaii_Island,Molokai,0.036775117,2.22E-16,0.036775117,8033.895,10601.675,22.45,227.04,8570.05,6810.95,5.1,209.5706716,7.25876712,1.206699944
,Hawaii,Hawaii_Island,Niihau,0.142719429,0.029972653,0.112746777,6310.77,7402.65,25,541.51,12016.3,13209,0,531.2323006,7.33164384,1.236516571
,Hawaii,Hawaii_Island,Oahu,0.076639808,0.06473769,0.011902117,7400.075,9687.77,13.8,324.38,9837.69,8638.76,22.4,306.9925079,7.11441096,1.169350052
,Hawaii,Kahoolawe,Kauai,0.289638849,5.53E-06,0.289633315,1556.735,2395.765,3.06,347.5,60.27,197.17,4.08,336.8000837,0.6759452,0.835499955
,Hawaii,Kahoolawe,Kure,0.240702021,0.010333162,0.230368859,765.47,1414.935,13.01,2361.58,1522.26,1764.49,23.98,2344.736691,2.70619178,0.304378955
,Hawaii,Kahoolawe,Lanai,0.132626622,0.031196101,0.101430522,1638.81,2969.775,1.15,44.42,224.42,1345.19,0.26,28.9814957,0.31032877,0.189116669
,Hawaii,Kahoolawe,Maui,0.225855486,0.00080514,0.225050346,4690.79,6469.09,1.17,40.38,6328.38,8343.82,0.3,27.1869487,1.63131507,0.251466561
,Hawaii,Kahoolawe,Molokai,0.213426978,0.007090778,0.2063362,2637.735,4746.69,10.46,78.01,2222.27,4899.02,18.88,59.69664343,0.31032877,0.066483307
,Hawaii,Kahoolawe,Niihau,0.171904666,0.047978256,0.12392641,914.61,1547.665,13.01,395.55,1223.98,1499.03,23.98,384.4282724,0.23745205,0.03666668
,Hawaii,Kahoolawe,Oahu,0.254840192,0.000229478,0.254610713,2003.915,3832.785,1.81,169.98,954.63,3071.21,1.58,151.7484798,0.45468493,0.103833199
,Hawaii,Kauai,Kure,0.127645266,0.071002989,0.056642277,795.605,1513.52,15.05,2016.11,1582.53,1961.66,19.9,1998.561028,2.03024658,0.531121
,Hawaii,Kauai,Lanai,0.19080763,0.00010621,0.19070142,1668.945,3068.36,3.19,300.61,164.15,1148.02,3.82,284.4658331,0.36561643,0.646383286
,Hawaii,Kauai,Maui,0.076458512,0.008120203,0.068338308,4720.925,6567.675,3.21,360.33,6268.11,8146.65,3.78,346.4312861,0.95536987,0.584033394
,Hawaii,Kauai,Molokai,0.08708345,1.96E-05,0.087063866,2667.87,4845.275,12.5,275.41,2162,4701.85,14.8,256.3909808,0.36561643,0.769016648
,Hawaii,Kauai,Niihau,0.165710769,0,0.165710769,944.745,1646.25,15.05,71.4,1284.25,1696.2,19.9,59.57260984,0.43849315,0.798833275
,Hawaii,Kauai,Oahu,0.124526903,0.090180995,0.034345908,2034.05,3931.37,3.85,177.4,894.36,2874.04,2.5,158.4628172,0.22126027,0.731666756
